offset,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19
93145,6.405738531301642,,,,,,,,,,,,,,,,,,
93250,4.40661545236183,,,,,,,,,,,,,,,,,,
174957,3.0340908766314967,,,,,,,,,,,,,,,,,,
384157,3.077300849530199,,,,,,,,,,,,,,,,,,
388453,3.4329312657142874,,,,,,,,,,,,,,,,,,
391648,4.119512422347803,,,,,,,,,,,,,,,,,,
395992,4.578357087080005,,,,,,,,,,,,,,,,,,
469853,3.029739014693992,,,,,,,,,,,,,,,,,,
494557,3.027455185217868,,,,,,,,,,,,,,,,,,
494562,3.027455185217868,,,,,,,,,,,,,,,,,,
494577,3.027455185217868,,,,,,,,,,,,,,,,,,
728071,4.052534614003703,,,,,,,,,,,,,,,,,,
728115,3.040113082019699,,,,,,,,,,,,,,,,,,
728237,3.040113082019699,,,,,,,,,,,,,,,,,,
728544,3.024822040705026,,,,,,,,,,,,,,,,,,
731370,3.222624005364827,,,,,,,,,,,,,,,,,,
875767,3.1400693429720867,,,,,,,,,,,,,,,,,,
891288,3.2425398947204176,,,,,,,,,,,,,,,,,,
893525,3.2425398947204176,,,,,,,,,,,,,,,,,,
894405,3.020020594856796,,,,,,,,,,,,,,,,,,
895223,3.020020594856796,,,,,,,,,,,,,,,,,,
899021,3.020020594856796,,,,,,,,,,,,,,,,,,
913095,3.4386892748308027,,,,,,,,,,,,,,,,,,
913590,3.4386892748308027,,,,,,,,,,,,,,,,,,
2086840,3.399940954286575,,,,,,,,,,,,,,,,,,
2105305,3.815912175230787,,,,,,,,,,,,,,,,,,
2106018,3.1052102939926494,,,,,,,,,,,,,,,,,,
2106098,3.164793825943636,,,,,,,,,,,,,,,,,,
2374203,3.482295127432725,,,,,,,,,,,,,,,,,,
2446071,3.208482542015953,,,,,,,,,,,,,,,,,,
2454550,3.3103930986741035,,,,,,,,,,,,,,,,,,
2463762,3.2041186624027067,,,,,,,,,,,,,,,,,,
2465381,3.436818396249676,,,,,,,,,,,,,,,,,,
2465382,3.821283132030823,,,,,,,,,,,,,,,,,,
2465383,3.7451190189096555,,,,,,,,,,,,,,,,,,
2465396,3.8404391227292867,,,,,,,,,,,,,,,,,,
2465413,3.60302032195961,,,,,,,,,,,,,,,,,,
2465425,3.60302032195961,,,,,,,,,,,,,,,,,,
2465438,3.029082731398548,,,,,,,,,,,,,,,,,,
2615659,4.0849720335895965,,,,,,,,,,,,,,,,,,
2948612,3.192866710963835,,,,,,,,,,,,,,,,,,
2948685,3.4711398387788246,,,,,,,,,,,,,,,,,,
2948874,3.4711398387788246,,,,,,,,,,,,,,,,,,
2948876,3.4711398387788246,,,,,,,,,,,,,,,,,,
3394625,3.096450935030037,,,,,,,,,,,,,,,,,,
3394964,3.096450935030037,,,,,,,,,,,,,,,,,,
3396686,3.596895099973834,,,,,,,,,,,,,,,,,,
3472423,3.0312565062283476,,,,,,,,,,,,,,,,,,
4034075,3.0568410790056486,,,,,,,,,,,,,,,,,,
4035849,3.085917444844005,,,,,,,,,,,,,,,,,,
4653071,3.279495383672406,,,,,,,,,,,,,,,,,,
4731551,3.677780705266081,,,,,,,,,,,,,,,,,,
4731805,3.442780417915775,,,,,,,,,,,,,,,,,,
4770488,3.3170344221414165,,,,,,,,,,,,,,,,,,
5084974,3.4361860830719215,,,,,,,,,,,,,,,,,,
5101754,3.3374142207741135,,,,,,,,,,,,,,,,,,
5267656,3.4995860826786784,,,,,,,,,,,,,,,,,,
5380127,3.2541573582234236,,,,,,,,,,,,,,,,,,
5514092,3.373636224475225,,,,,,,,,,,,,,,,,,
5516270,3.359903436936425,,,,,,,,,,,,,,,,,,
5534966,3.6127460009196692,,,,,,,,,,,,,,,,,,
5567860,3.223367887398981,,,,,,,,,,,,,,,,,,
5568341,3.0413946481737195,,,,,,,,,,,,,,,,,,
5810291,3.3022010412492016,,,,,,,,,,,,,,,,,,
5812505,4.653124230680845,,,,,,,,,,,,,,,,,,
5812515,3.188825091204472,,,,,,,,,,,,,,,,,,
5815544,3.303118930095159,,,,,,,,,,,,,,,,,,
5815559,3.312220254866688,,,,,,,,,,,,,,,,,,
5876324,3.064412835371286,,,,,,,,,,,,,,,,,,
6009931,4.119343182034047,,,,,,,,,,,,,,,,,,
6069465,3.135858523130772,,,,,,,,,,,,,,,,,,
6176181,3.316476850442579,,,,,,,,,,,,,,,,,,
6183439,3.1904009649777474,,,,,,,,,,,,,,,,,,
6232280,3.010567892653818,,,,,,,,,,,,,,,,,,
7521164,3.1826991877496145,,,,,,,,,,,,,,,,,,
7521643,3.1631113519977894,,,,,,,,,,,,,,,,,,
7521651,3.1631113519977894,,,,,,,,,,,,,,,,,,
7521677,3.1631113519977894,,,,,,,,,,,,,,,,,,
7521843,3.1826991877496145,,,,,,,,,,,,,,,,,,
7521911,3.1826991877496145,,,,,,,,,,,,,,,,,,
7521913,3.1826991877496145,,,,,,,,,,,,,,,,,,
7521920,3.1826991877496145,,,,,,,,,,,,,,,,,,
7522202,3.1826991877496145,,,,,,,,,,,,,,,,,,
7522268,3.1826991877496145,,,,,,,,,,,,,,,,,,
7522284,3.1826991877496145,,,,,,,,,,,,,,,,,,
7522352,3.1826991877496145,,,,,,,,,,,,,,,,,,
7522394,3.1826991877496145,,,,,,,,,,,,,,,,,,
